URL,Keyword,Keyword in Title,Keyword In H1,Keyword in URL,Keyword in Paragraph,Keyword in Image URL,Keyword in Alt Attribute,Keyword Density
https://www.spcollege.edu/future-students/why-spc/flexible-options-for-you/online-programs-at-spc,st pete online,Fail,Fail,Fail,Fail,Fail,Fail,0.00%
https://www.spcollege.edu/current-students/student-affairs/student-life/campus-cafes,spc food,Fail,Fail,Fail,Fail,Fail,Fail,0.00%
https://www.spcollege.edu/,www spcollege edu,Fail,Fail,Fail,Fail,Fail,Fail,0.00%
https://www.spcollege.edu/future-students/degrees-training/health-sciences-and-veterinary-technology/nursing,nursing programs in st petersburg florida,Fail,Fail,Fail,Fail,Fail,Fail,0.00%
https://www.spcollege.edu/friends-partners/about/locations/st-petersburg-gibbs-campus,"6605 fifth avenue n, st. petersburg, fl",Fail,Fail,Fail,Fail,Fail,Fail,0.00%
https://www.spcollege.edu/advising,my st.pete college,Fail,Fail,Fail,Fail,Fail,Fail,0.00%
https://www.spcollege.edu/current-students/student-affairs/student-right-to-know/student-responsibilities,spcollege login,Fail,Fail,Fail,Fail,Fail,Fail,0.00%
https://www.spcollege.edu/friends-partners/about/contact-spc,spc number,Fail,Fail,Fail,Fail,Fail,Fail,0.00%
